,name,historical_sold,price,rating_star,image,status
0,"Quần short thun nam thể thao, quần đùi nam mặc nhà đi chơi tập gym-DUI01",35424,3500000000,4.77774,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lrq43mumt8yh8f_tn,normal
1,Quần đùi nam thể thao mát co giãn phù hợp thể thao hay mặc nhà SHORTGIO,19813,2750000000,4.674669,https://down-vn.img.susercontent.com/file/bcecf8f5f48f49b14f53c4d3a43a1c18_tn,normal
2,"Quần đùi nam short thể thao mặc nhà vải gió co giãn nhẹ mát có khoá kéo co giãn 4 chiều, nhẹ, mềm SHORTGIO",2805,2750000000,4.692157,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lqmby8b1bp3m4f_tn,normal
3,Quần short Nam thể thao vải gió co giãn nhẹ mát có khóa túi tiện dụng tập gym hay mặc nhà SHORTGIO,2638,2790000000,4.637295,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lqmby8b18vyq90_tn,normal
4,Bộ nam hè Bộ quần áo Mặc Nhà Thể Thao Nam Mùa Hè Phong Cách Cao Cấp BTT,1266,5990000000,4.600806,https://down-vn.img.susercontent.com/file/5332490e9da1f7d58b8dd18856e1d533_tn,normal
5,"Quần đùi thể thao nam vải gió thể thao cao cấp, co giãn 4 chiều, nhẹ, mềm, mát, không bai SHORTGIO",2281,2750000000,4.686375,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lqmby8b14o9e72_tn,normal
6,Áo thun nam cổ bẻ thể thao chất thun lạnh vân dập đẹp co giãn vận động thoải mái POLOA1-TD,86,3000000000,4.809524,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lm1why8vl3a705_tn,normal
7,"Găng tay, bao tay hở ngón lái xe, vớ thể thao chống trượt, chống tia UV thoáng khí",0,590000000,0.0,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-ls276zpf5fic52_tn,normal
8,Áo Thể Thao Nam THE DEME thun lạnh tập gym cổ tròn ngắn tay vải thoáng mát co giãn ATT,6181,1395000000,4.719397,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lqmby8b162tu73_tn,normal
9,Quần đùi nam mặc nhà Q3SOC thun mềm mát hút mồ hôi tốt size 50-80kg,882,2990000000,4.774436,https://down-vn.img.susercontent.com/file/0172cfcda2b78f841f003f1845f71286_tn,normal
10,"Mũ lưỡi trai, Nón kết màu đỏ trơn Nam nữ",21,1200000000,5.0,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lq8oi3imxnav7a_tn,normal
11,Bộ Đồ Quần Áo Thể Thao Nam Mùa Hè Chất Thun Lạnh Co Giãn 4 Chiều 5 BTT06,129,5130000000,4.914286,https://down-vn.img.susercontent.com/file/sg-11134201-23020-1g5vwnfqhdnvb7_tn,normal
12,"Quần lót nam, quần sịp nam cotton, co giãn, đàn hồi tốt thấm hút mồi hôi",2257,900000000,4.700288,https://down-vn.img.susercontent.com/file/8fbfb342b176cd168b260bee020bb322_tn,normal
13,"Áo giữ nhiệt nam, Áo thun nam tay dài ôm body đẹp cao cấp co giãn 4 chiều cao cấp AGN",568,2480000000,4.737864,https://down-vn.img.susercontent.com/file/sg-11134201-22090-qin3yd43kshv77_tn,normal
14,"Quần Đùi Nam,Quần Short Nam Thể Thao Vải Dù Gió Phối 3 Sọc, Nhẹ, Mát- DUIGIO03",780,2000000000,4.656,https://down-vn.img.susercontent.com/file/53022ac35146172b124b508d5fcf1766_tn,normal
15,Quần đùi nam thể thao có bigsize mặc nhà vải thun co giãn nhẹ mát có túi 2 bên DUI01,1480,5990000000,4.809365,https://down-vn.img.susercontent.com/file/4af428004332c4611a50440a5107ee29_tn,normal
16,Quần đùi nam thể thao có bigsize chất thun mềm mát co giãn tốt có khóa kéo 2 bên DUI01,256,3960000000,4.7,https://down-vn.img.susercontent.com/file/sg-11134201-22100-uu15uipc0siv81_tn,normal
17,Áo Thể Thao Nam THE DEME thun lạnh tập gym cổ tròn ngắn tay vải thoáng mát,52,2430000000,4.941176,https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-lghp424h3otm9f_tn,normal
18,"Quần sooc lửng nam thể thao, quần short tập gym mặc nhà nhiều size có 2 túi và có khoá kéo chắc chắn, tiện dụng SHORTGIO",357,3590000000,4.490909,https://down-vn.img.susercontent.com/file/01e7ab4da2e88e9b971c451678176cf6_tn,normal
19,Bộ nam hè Bộ Thể Thao Nam Chất Thun Lạnh Co Giãn 4 Chiều Dập Vân Cao CấpThoáng Mát Hè,337,5990000000,4.710145,https://down-vn.img.susercontent.com/file/21fa05077f3119470fe68ccdeb6714ac_tn,normal
20,"Quần short đùi nam thể thao,quần sooc tập gym mặc nhà nhiều size SHORTGIO",659,3590000000,4.828571,https://down-vn.img.susercontent.com/file/0391d40788a6aa529cb9f35b84760597_tn,normal
21,Áo thun dài tay nam thể thao cổ tròn mã [D03] chất thun lạnh co giãn 4 chiều. Thun giữ nhiệt nam AGN,362,3590000000,4.269841,https://down-vn.img.susercontent.com/file/49d625057984a771094215cb506cd5cd_tn,normal
22,Áo thun nam thể thao chất vải thun lạnh tập gym cổ tròn ngắn tay co giãn chuẩn form nhiều màu  ATT,387,3990000000,4.559524,https://down-vn.img.susercontent.com/file/60035944d48f5c48ce7dbaa2ad1f85db_tn,normal
23,quần đùi nam carro,2,1260000000,0.0,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lqw85c16x4uc43_tn,normal
24,"Quần đùi nam thể thao, quần sooc tập gym mặc nhà nhiều size có 2 túi và có khoá kéo chắc chắn SHORTGIO",2085,3590000000,4.747664,https://down-vn.img.susercontent.com/file/9f3d88cd5fb9d6da86d52f0ceae19a1b_tn,normal
25,Quần đùi nam thể thao chất vải thun co giãn 4 chiều mát nhẹ thoải mái vận động DUI01,586,5990000000,4.68932,https://down-vn.img.susercontent.com/file/e847b52e6b296a10949446f4c75632de_tn,normal
26,Quần đùi nam cotton đẹp ống rộng mặc nhà ngủ chống nhăn-DUITAM04,1396,1400000000,4.903846,https://down-vn.img.susercontent.com/file/6007f98a74b7226c2b7fd0a99ec89f23_tn,normal
27,Áo Thể Thao Nam thun lạnh tập gym cổ tròn ngắn tay vải thoáng mát ATT,545,3990000000,4.841121,https://down-vn.img.susercontent.com/file/5b8650190a16bba7b941edee26742b5e_tn,normal
28,Áo lót nam 3 lỗ cotton 100% hàng cao cấp loại 1 mặc cực mát thoải mái,706,2999000000,4.571429,https://down-vn.img.susercontent.com/file/9573203ebade6cbef3edd625db1f6cab_tn,normal
29,"Bộ nam hè, Bộ thể thao nam chất thun co giãn năng động màu hè có nhiều màu BTT",238,5990000000,4.76087,https://down-vn.img.susercontent.com/file/68a21d3b9b6ef2c1393f1e56ead712ac_tn,normal
30,Quần đùi nam mặc nhà vải MÁT co dãn tốt mặc cực kỳ thoải mái-DUIGIO03,379,2000000000,4.706667,https://down-vn.img.susercontent.com/file/1da69b770fedd38fd71c26e5d63ceac7_tn,normal
31,"Áo Lót Nam Cotton Có Tay Mặc Ở Nhà , Áo Đông Xuân Nam Cộc Tay Bộ Đội Trắng Siêu Rẻ Siêu Đẹp",865,2990000000,4.793103,https://down-vn.img.susercontent.com/file/2699234d5da52f6559705b87a4baa476_tn,normal
32,Áo lót nam trắng cotton hanoisimex thấm hút mồ hôi tốt kiểu trơn,302,2990000000,4.5,https://down-vn.img.susercontent.com/file/fde7edce7d562381e68992dbe9a3c334_tn,normal
